epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1297.75,0.8172,0.47107,0.98022,0.95072,0.94877,0.9649,0.7649,0.76552,0.44253,0.92908,0.00036058,0.00036058,0.00036058
43,1319.17,0.80955,0.46227,0.97264,0.93327,0.95698,0.96105,0.76147,0.76365,0.43385,0.93111,0.000359204,0.000359204,0.000359204
44,1341.08,0.83464,0.46426,0.9826,0.93615,0.95133,0.95996,0.76815,0.73959,0.43524,0.92431,0.000357828,0.000357828,0.000357828
45,1361.62,0.8154,0.45895,0.97738,0.94322,0.95679,0.96305,0.76826,0.79656,0.43545,0.94147,0.000356452,0.000356452,0.000356452
46,1383.2,0.82384,0.46937,0.98349,0.93523,0.94253,0.95547,0.7644,0.7585,0.45128,0.92546,0.000355076,0.000355076,0.000355076
47,1404.26,0.80075,0.4535,0.9656,0.93752,0.94482,0.95657,0.75408,0.77166,0.43887,0.92906,0.000353699,0.000353699,0.000353699
48,1453.79,0.80612,0.45089,0.97152,0.9364,0.9475,0.9601,0.76015,0.78715,0.43971,0.92932,0.000352323,0.000352323,0.000352323
49,1517,0.81038,0.45188,0.97094,0.94215,0.94744,0.96,0.76944,0.76502,0.44638,0.92996,0.000350947,0.000350947,0.000350947
50,1570.09,0.82215,0.46279,0.98258,0.93265,0.94544,0.96352,0.76386,0.76552,0.44142,0.92427,0.000349571,0.000349571,0.000349571
51,1591.76,0.803,0.44314,0.96441,0.93415,0.93578,0.96231,0.75554,0.77308,0.44429,0.9349,0.000348195,0.000348195,0.000348195
52,1637.83,0.80048,0.44794,0.96681,0.94173,0.9481,0.9597,0.76526,0.80959,0.43714,0.94443,0.000346819,0.000346819,0.000346819
53,1690.47,0.79239,0.44512,0.96839,0.934,0.95297,0.95716,0.77039,0.7408,0.44218,0.91814,0.000345443,0.000345443,0.000345443
54,1720.95,0.80655,0.45652,0.97782,0.93021,0.95626,0.96022,0.7722,0.76042,0.44594,0.9257,0.000344067,0.000344067,0.000344067
55,1761.14,0.8111,0.45237,0.96982,0.94788,0.94214,0.96432,0.78154,0.72261,0.42848,0.91095,0.000342691,0.000342691,0.000342691
56,1804.09,0.79483,0.44335,0.96801,0.94247,0.95582,0.96559,0.78094,0.73874,0.42328,0.91464,0.000341315,0.000341315,0.000341315
57,1964.88,0.79852,0.44544,0.96718,0.94043,0.94926,0.96321,0.77284,0.75503,0.43699,0.92359,0.000339938,0.000339938,0.000339938
58,2094.25,0.78414,0.4409,0.96019,0.94345,0.95147,0.961,0.78014,0.74369,0.4221,0.92012,0.000338562,0.000338562,0.000338562
59,2134.66,0.77567,0.42899,0.95238,0.93934,0.95734,0.96187,0.77003,0.77764,0.42421,0.93103,0.000337186,0.000337186,0.000337186
60,2168.63,0.78184,0.44094,0.96548,0.94892,0.94278,0.96009,0.77101,0.80829,0.43689,0.94216,0.00033581,0.00033581,0.00033581
61,2194.13,0.78398,0.43218,0.95931,0.95064,0.95356,0.96097,0.76788,0.7223,0.42521,0.90795,0.000334434,0.000334434,0.000334434
62,2224.28,0.79395,0.43139,0.96579,0.935,0.94052,0.95883,0.77647,0.71813,0.42441,0.90912,0.000333058,0.000333058,0.000333058
63,2300.29,0.77601,0.4299,0.95146,0.94008,0.95511,0.96375,0.77313,0.74944,0.41736,0.9231,0.000331682,0.000331682,0.000331682
64,2456.28,0.77845,0.4338,0.95602,0.94365,0.96071,0.9648,0.78134,0.74936,0.41397,0.92537,0.000330306,0.000330306,0.000330306
65,2479.94,0.77334,0.42731,0.95191,0.9349,0.95543,0.96383,0.77801,0.73864,0.43405,0.9196,0.00032893,0.00032893,0.00032893
66,2502.39,0.76273,0.43131,0.94852,0.94044,0.94078,0.9618,0.76635,0.75342,0.42971,0.91949,0.000327553,0.000327553,0.000327553
67,2524.46,0.77183,0.43482,0.95901,0.94374,0.94768,0.95727,0.77757,0.72693,0.42398,0.91692,0.000326177,0.000326177,0.000326177
68,2545.88,0.76338,0.42673,0.95728,0.9491,0.95918,0.96004,0.78439,0.71082,0.42857,0.91444,0.000324801,0.000324801,0.000324801
